#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
1158,Cyber City 2157: The Visual Novel,"May 4, 2016",$4.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Harotobira,Sometimes You,Visual Novel
1163,OPUS: The Day We Found Earth,"Apr 21, 2016",$14.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),SIGONO INC.,SIGONO INC.,Visual Novel
1166,Melty Blood Actress Again Current Code,"Apr 19, 2016",$24.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),FRENCH-BREAD,Arc System Works,Visual Novel
1175,Dear RED - Extended,"Apr 12, 2016",$2.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Lee Sang,Sometimes You,Visual Novel
1185,Hyperdimension Neptunia U: Action Unleashed,"Mar 21, 2016",$14.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Idea Factory, Compile Heart, Tamsoft",Idea Factory International,Visual Novel
1195,BlazBlue: Chronophantasma Extend,"Mar 2, 2016",$29.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Arc System Works,"H2 Interactive Co., Ltd.",Visual Novel
1198,Lucy -The Eternity She Wished For-,"Feb 28, 2016",$3.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Modern Visual Arts Laboratory, SEO INSEOK",Modern Visual Arts Laboratory,Visual Novel
1201,Army of Tentacles: (Not) A Cthulhu Dating Sim,"Feb 15, 2016",$4.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Stegalosaurus Game Development,Stegalosaurus Game Development,Visual Novel
1228,The Deed,"Nov 23, 2015",$0.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, WhisperGames, TheGamesFortress",Visual Novel
1240,Hyperdimension Neptunia Re;Birth3 V Generation,"Oct 30, 2015",$14.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Idea Factory, Compile Heart, Felistella","Idea Factory, Idea Factory International",Visual Novel
1281,Hyperdimension Neptunia Re;Birth2: Sisters Generation,"May 29, 2015",$14.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Idea Factory, Compile Heart, Felistella","Idea Factory, Idea Factory International",Visual Novel
1284,AKIBA'S TRIP: Undead ＆ Undressed,"May 26, 2015",$19.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),ACQUIRE Corp.,"XSEED Games, Marvelous USA, Inc.",Visual Novel
1313,Sakura Angels,"Jan 16, 2015",$2.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Winged Cloud,Winged Cloud,Visual Novel
1325,BlazBlue: Continuum Shift Extend,"Dec 11, 2014",$9.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Arc System Works,"H2 Interactive Co., Ltd.",Visual Novel
1326,If My Heart Had Wings,"Jun 28, 2013",$14.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),MoeNovel,MoeNovel,Visual Novel
1344,Detective Grimoire,"Aug 18, 2014",$6.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),SFB Games,SFB Games,Visual Novel
1351,Sakura Spirit,"Jul 9, 2014",$2.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Winged Cloud,Winged Cloud,Visual Novel
1365,Go! Go! Nippon! ~My First Trip to Japan~,"Feb 21, 2014",$9.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),OVERDRIVE,MangaGamer,Visual Novel
1370,99 Spirits,"Nov 12, 2013",$4.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),TORaIKI,Fruitbat Factory,Visual Novel
26,Fate/EXTELLA LINK,"Mar 19, 2019",$49.99,N/A (N/A/79%),"100,000 .. 200,000",0%,00:00 (00:00),Marvelous Inc.,"XSEED Games, Marvelous USA, Inc., Marvelous",Visual Novel
30,A Mortician's Tale,"Oct 18, 2017",$9.99,N/A (N/A/78%),"100,000 .. 200,000",0%,00:00 (00:00),Laundry Bear Games,Laundry Bear Games,Visual Novel
35,Joe Dever's Lone Wolf HD Remastered,"Nov 27, 2014",$14.99,N/A (N/A/78%),"100,000 .. 200,000",0%,00:00 (00:00),Forge Reply srl,505 Games,Visual Novel
40,The Lion's Song: Episode 1 - Silence,"Jul 7, 2016",Free,N/A (N/A/77%),"100,000 .. 200,000",0%,00:00 (00:00),Mi'pu'mi Games GmbH,Mi'pu'mi Games GmbH,Visual Novel
45,The Detail,"Oct 28, 2014",$2.99,N/A (N/A/77%),"100,000 .. 200,000",0%,00:00 (00:00),Rival Games Ltd,Rival Games Ltd,Visual Novel
55,Quarantine Circular,"May 22, 2018",$5.99,N/A (N/A/73%),"100,000 .. 200,000",0%,00:00 (00:00),Bithell Games,Bithell Games,Visual Novel
57,Blues and Bullets,"Jul 23, 2015",$4.99,N/A (N/A/73%),"100,000 .. 200,000",0%,00:00 (00:00),A Crowd of Monsters,A Crowd of Monsters,Visual Novel
63,SENRAN KAGURA ESTIVAL VERSUS,"Mar 17, 2017",$29.99,N/A (N/A/71%),"100,000 .. 200,000",0%,00:00 (00:00),Tamsoft,"XSEED Games, Marvelous USA, Inc., Marvelous",Visual Novel
68,Tokyo Dark,"Sep 7, 2017",$4.49,N/A (N/A/70%),"100,000 .. 200,000",0%,00:00 (00:00),Cherrymochi,Square Enix,Visual Novel
