#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
631,EggTime 2,"May 7, 2018",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Bartoš Studio,Bartoš Studio,Sports
632,Arc Surfer,"Apr 30, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Pixel Fyzz,Pixel Fyzz,Sports
634,RHCs StretchingVr,"Apr 13, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),River,River,Sports
635,Glaive: Brick Breaker,"Apr 26, 2018",$1.49,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Blue Sunset Games,Blue Sunset Games,Sports
636,Micro Pico Racers,"Apr 26, 2018",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Josep Monzonis Hernandez,Josep Monzonis Hernandez,Sports
637,MLB Home Run Derby VR,"Apr 26, 2018",$29.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),MLB,MLB,Sports
638,Galaxy Ball Defender,"Apr 25, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),That One Game Studio,That One Game Studio,Sports
639,Go-Kart Racing,"Apr 25, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),FlagmanJeremy,FlagmanJermey,Sports
640,Christmas Santa Troubles,"Apr 24, 2018",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Unknown Indie Devs,Unknown Indie Devs,Sports
641,The Snowboard Game,"Apr 24, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Let it roll AB,Let it roll AB,Sports
642,Baseball Mogul 2018,"Apr 24, 2018",$29.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Sports Mogul, Inc.","Sports Mogul, Inc.",Sports
643,Tennis Kings VR,"Apr 23, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Appnori Inc.,Appnori Inc.,Sports
645,Slamdunk VR,"Apr 8, 2018",$17.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),福建鸣清科技有限公司,福建鸣清科技有限公司,Sports
647,Boxing Apocalypse,"Apr 20, 2018",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Gotham City Films, LLC","Gotham City Films, LLC",Sports
648,9 Balls,"Apr 20, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),CasGames,CasGames,Sports
649,Courtyard Broomball,"Apr 20, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Newfa Games,Newfa Games,Sports
650,Watch Me Jump,"Apr 19, 2018",Free,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Jeremy Gable,Jeremy Gable,Sports
651,Bedlamball,"Apr 19, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Evan Peiperl, Brianna Livesay",Solidplasma Studios LLC,Sports
653,Kama Bullet Heritage 2,"Apr 18, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Narko Games,Narko Games,Sports
655,Archery Blast,"Apr 13, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),RewindApp,RewindApp,Sports
656,TurbOT Racing,"Apr 13, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),creasso,creasso,Sports
657,V-Racer Hoverbike,"Apr 13, 2018",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),VertexBreakers,VertexBreakers,Sports
659,Overchunked,"Apr 12, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"ATOMIC BREATH, FraZack","ATOMIC BREATH, FraZack",Sports
660,Naturallandscape - Grand Canyon (自然景观系列-美国大峡谷),"Apr 12, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Magicvalley Studio,Magicvalley Studio,Sports
661,Baseball Kings VR,"Apr 11, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Appnori Inc.,Appnori Inc.,Sports
662,Archery Kings VR,"Apr 11, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Appnori Inc.,Appnori Inc.,Sports
664,Sci-fi Chess,"Apr 11, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Green-eyed Taxi,Narko Games,Sports
666,Darts and Friends,"Apr 9, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Racing Bros,ANPA.US,Sports
667,Tetripank,"Apr 9, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Narko Games,Narko Games,Sports
668,Galactic Orbital Death Sport,"Apr 6, 2018",$5.19,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),MECH'AT,Plug In Digital,Sports
669,Global Soccer: A Management Game 2018,"Apr 6, 2018",Free,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Forever Young Games,Forever Young Games,Sports
670,Hovercraft Drive,"Apr 6, 2018",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Builder7,Bitlock Studio,Sports
671,Poker Simulator,"Apr 6, 2018",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),netmin games,netmin games,Sports
